permission,SUPER_ADMIN,ADMIN,FINOPS,CX,AUDITOR,COMPLIANCE,SUPPORT
admin.dashboard_view,D,D,,,,,
admin.read,D,D,,,,,
admin.system_config,D,,,,,,
admin.tenant_manage,D,,,,,,
admin.user_manage,D,D,,,,,
advisor_assignment.create,D,D,,,,,
advisor_assignment.list,D,D,,,,,
advisor_assignment.update,D,D,,,,,
advisor_capacity.read,D,D,,,,,
advisor_capacity.update,D,D,,,,,
advisor_conflict.list,D,D,,,,,
advisor_conflict.review,D,D,,,,,
advisor_ops.read,D,D,,D,,,
advisor.create,D,D,,,,,
advisor.delete,D,D,,,,,
advisor.list,D,D,,,,,D
advisor.read,D,D,,,,,D
advisor.update,D,D,,,,,
advisory_service.create,D,I,,,,,
advisory_service.delete,D,D,,,,,
advisory_service.list,D,D,,,,,D
advisory_service.manage,D,D,,,,,
advisory_service.read,D,D,,,,,D
advisory_service.update,D,D,,,,,
ai.chat,D,D,,,,,
analytics.financial,D,D,D,,D,,
analytics.read,D,D,D,D,D,,
analytics.system,D,,,,,,
audit_log.export,D,,,,,,
audit_log.list,D,D,,,,,
audit_log.read,D,D,,,,,
billing.manage,D,D,D,,,,
billing.read,D,D,D,,D,,
calendar.create,D,D,,,,,
calendar.delete,D,D,,,,,
calendar.read,D,D,,,,,
case.assign,D,D,,D,,,D
case.create,D,D,,D,,,D
case.escalate,D,D,,D,,D,D
case.list,D,D,,D,,D,D
case.read,D,D,,D,,D,D
case.update,D,D,,D,,D,D
certification.approve,D,D,,,,,
certification.create,D,D,,,,,
certification.list,D,D,,,,,D
certification.read,D,D,,,,,D
certification.update,D,D,,,,,
community.comment_create,D,D,,,,,
community.comment_delete,D,D,,,,,
community.comment_update,D,D,,,,,
community.manage,D,D,,,,,
community.post_create,D,D,,,,,
community.post_delete,D,D,,,,,
community.post_list,D,D,,,,,D
community.post_read,D,D,,,,,D
community.post_update,D,D,,,,,
dashboard.read,D,D,,,,,
data_governance.read,D,D,,,D,D,
dataroom.delete,D,D,,,,,
dataroom.list,D,D,,,,,D
dataroom.manage,D,D,,,,,
dataroom.read,D,D,,,,,D
dataroom.upload,D,D,,,,,
deal.approve,D,D,,,,,
deal.create,D,D,,,,,
deal.delete,D,D,,,,,
deal.list,D,D,,,,,D
deal.read,D,D,,,,,D
deal.update,D,D,,,,,
dispute.delete,D,,,,,,
dispute.list,D,D,,,,,
dispute.read,D,D,,,,,
dispute.update,D,D,,,,,
document.create,D,D,,,,,
document.delete,D,D,,,,,
document.download,D,D,,,,,
document.list,D,D,,,,,D
document.read,D,D,,,,,D
document.update,D,D,,,,,
due_diligence.create,D,D,,,,,
due_diligence.list,D,D,,,,,D
due_diligence.manage,D,D,,,,,
due_diligence.read,D,D,,,,,D
due_diligence.update,D,D,,,,,
escalation.run,D,D,,D,,,D
investor_ops.list,D,D,,D,,D,
investor_ops.read,D,D,,D,,D,
investor_ops.review,D,D,,,,D,
investor_ops.update,D,D,,,,D,
investor.create,D,D,,,,,
investor.delete,D,D,,,,,
investor.export,D,D,,,,,
investor.list,D,D,,,,,D
investor.read,D,D,,,,,D
investor.update,D,D,,,,,
investor.verify,D,D,,,,,
invoice.manage,D,D,D,,,,
invoice.read,D,D,D,,D,,
legal_hold.create,D,D,,,,D,
legal_hold.list,D,D,,,D,D,
legal_hold.release,D,D,,,,D,
matchmaking.create_match,D,D,,,,,
matchmaking.express_interest,D,D,,,,,
matchmaking.list,D,D,,,,,
matchmaking.read,D,D,,,,,
notification.broadcast,D,D,,,,,
notification.delete,D,D,,,,,
notification.list,D,D,,,,,D
notification.read,D,D,,,,,D
notification.update,D,D,,,,,
onboarding_task.create,D,D,,D,,,D
onboarding_task.list,D,D,,D,,,D
onboarding_task.read,D,D,,D,,,D
onboarding_task.remind,D,D,,D,,,D
onboarding_task.update,D,D,,D,,,D
onboarding_template.create,D,D,,,,,
onboarding_template.list,D,D,,D,,,D
onboarding_template.publish,D,D,,,,,
onboarding_template.read,D,D,,D,,,D
onboarding_template.update,D,D,,,,,
payment.create,D,D,,,,,
payment.list,D,D,,,,,
payment.read,D,D,,,,,
payment.refund,D,D,,,,,
reconciliation.exception.list,D,D,D,,D,,
reconciliation.exception.update,D,D,D,,,,
reconciliation.read,D,D,D,,D,,
reconciliation.run,D,D,D,,,,
report.analytics,D,D,,,,,
report.create,D,D,D,,,,
report.export,D,D,D,D,,,
report.financial,D,D,,,,,
report.list,D,D,D,D,,,
report.read,D,D,D,D,,,
retention_rule.list,D,D,,,D,D,
retention_rule.update,D,D,,,,D,
role_grant.create,D,D,,,,,
role_grant.list,D,D,,,D,D,
role_grant.revoke,D,D,,,,,
role_request.create,D,D,,,,,D
role_request.list,D,D,,,,,
role_request.review,D,D,,,,,
secondary_trading.buy,,,,,,,
secondary_trading.create_listing,,,,,,,
secondary_trading.execute,D,,,,,,
secondary_trading.list,D,D,D,D,D,D,D
secondary_trading.read,D,D,D,D,D,D,D
secondary_trading.update_listing,D,D,D,D,D,D,D
settings.read,D,D,,,,,
settings.system,D,,,,,,
settings.update,D,D,,,,,
sme.certify,D,D,,,,,
sme.create,D,D,,,,,
sme.delete,D,D,,,,,
sme.export,D,D,,,,,
