permission,ADVISOR,INVESTOR,SME
admin.dashboard_view,,,
admin.read,,,
admin.system_config,,,
admin.tenant_manage,,,
admin.user_manage,,,
advisor_assignment.create,,,
advisor_assignment.list,,,
advisor_assignment.update,,,
advisor_capacity.read,,,
advisor_capacity.update,,,
advisor_conflict.list,,,
advisor_conflict.review,,,
advisor_ops.read,,,
advisor.create,,,
advisor.delete,,,
advisor.list,D,,
advisor.read,O,,
advisor.update,O,,
advisory_service.create,D,,
advisory_service.delete,O,,
advisory_service.list,D,D,D
advisory_service.manage,D,,
advisory_service.read,D,D,D
advisory_service.update,O,,
ai.chat,D,D,D
analytics.financial,,,
analytics.read,D,,
analytics.system,,,
audit_log.export,,,
audit_log.list,,,
audit_log.read,,,
billing.manage,,,
billing.read,,,
calendar.create,D,D,D
calendar.delete,D,D,D
calendar.read,D,D,D
case.assign,,,
case.create,,,
case.escalate,,,
case.list,,,
case.read,,,
case.update,,,
certification.approve,D,,
certification.create,D,,
certification.list,D,,
certification.read,D,,O
certification.update,D,,
community.comment_create,D,D,D
community.comment_delete,O,O,O
community.comment_update,O,O,O
community.manage,,,
community.post_create,D,D,D
community.post_delete,O,O,O
community.post_list,D,D,D
community.post_read,D,D,D
community.post_update,O,O,O
dashboard.read,D,D,D
data_governance.read,,,
dataroom.delete,,,O
dataroom.list,D,D,D
dataroom.manage,,,O
dataroom.read,D,D,D
dataroom.upload,D,,O
deal.approve,D,,
deal.create,D,D,
deal.delete,D,,
deal.list,D,D,D
deal.read,D,D,O
deal.update,D,O,O
dispute.delete,,,
dispute.list,,O,O
dispute.read,,O,O
dispute.update,,,
document.create,D,,O
document.delete,D,,O
document.download,D,D,O
document.list,D,D,D
document.read,D,D,O
document.update,D,,O
due_diligence.create,D,,
due_diligence.list,D,D,D
due_diligence.manage,D,,
due_diligence.read,D,D,D
due_diligence.update,O,,
escalation.run,,,
investor_ops.list,,,
investor_ops.read,,,
investor_ops.review,,,
investor_ops.update,,,
investor.create,D,,
investor.delete,D,,
investor.export,,,
investor.list,D,D,D
investor.read,D,O,D
investor.update,D,O,
investor.verify,,,
invoice.manage,,,
invoice.read,,,
legal_hold.create,,,
legal_hold.list,,,
legal_hold.release,,,
matchmaking.create_match,D,,
matchmaking.express_interest,D,D,D
matchmaking.list,D,D,D
matchmaking.read,D,D,D
notification.broadcast,,,
notification.delete,O,O,O
notification.list,D,D,D
notification.read,D,D,D
notification.update,O,O,O
onboarding_task.create,,,
onboarding_task.list,,,
onboarding_task.read,,,
onboarding_task.remind,,,
onboarding_task.update,,,
onboarding_template.create,,,
onboarding_template.list,,,
onboarding_template.publish,,,
onboarding_template.read,,,
onboarding_template.update,,,
payment.create,D,D,D
payment.list,O,O,O
payment.read,O,O,O
payment.refund,,,
reconciliation.exception.list,,,
reconciliation.exception.update,,,
reconciliation.read,,,
reconciliation.run,,,
report.analytics,D,,
report.create,,,
report.export,D,D,D
report.financial,D,,
report.list,D,D,D
report.read,D,D,D
retention_rule.list,,,
retention_rule.update,,,
role_grant.create,,,
role_grant.list,,,
role_grant.revoke,,,
role_request.create,D,D,D
role_request.list,,,
role_request.review,,,
secondary_trading.buy,,D,
secondary_trading.create_listing,,D,
secondary_trading.execute,,,
secondary_trading.list,,D,D
secondary_trading.read,,D,D
secondary_trading.update_listing,,O,
settings.read,,,
settings.system,,,
settings.update,,,
sme.certify,D,,
sme.create,D,,
sme.delete,D,,
sme.export,D,,
sme.list,D,D,D
sme.read,D,D,O
sme.update,D,,O
subscription.manage,,,
subscription.read,,,
support_ticket.create,D,D,D
support_ticket.list,,,
support_ticket.read,,,
support_ticket.update,,,
syndicate.create,,D,
syndicate.join,,D,
syndicate.list,D,D,D
syndicate.manage,,D,
syndicate.read,D,D,D
syndicate.update,,D,
tenant.create,,,
tenant.delete,,,
tenant.list,,,
tenant.read,,,
tenant.update,,,
user.create,,,
user.delete,,,
user.list,,,
user.read,O,O,O
user.suspend,,,
user.update,,,
workflow.approve,D,,
workflow.create,D,,
workflow.list,D,,
workflow.read,D,O,O
workflow.update,D,,
